"Var1","Var2","Var3","Var4","RMSE"
0,0,0,0,4246.21239686662
1,0,0,0,4134.75937032841
2,0,0,0,4120.02215872586
3,0,0,0,4155.95504655183
0,1,0,0,4158.61700129112
1,1,0,0,4087.44843937833
2,1,0,0,4092.90808615274
3,1,0,0,4144.71192133951
0,2,0,0,4120.44253207446
1,2,0,0,4142.12509248246
2,2,0,0,4097.95064912636
3,2,0,0,4059.811968397
0,3,0,0,4104.59794850093
1,3,0,0,4157.84822456465
2,3,0,0,4091.50766601591
3,3,0,0,4055.3613427436
0,0,1,0,3793.76293052352
1,0,1,0,3642.09480606006
2,0,1,0,3628.28167914577
3,0,1,0,3645.94927337601
0,1,1,0,3680.95418844717
1,1,1,0,3597.16632306356
2,1,1,0,3626.84607468411
3,1,1,0,3650.4081040071
0,2,1,0,3635.80735122146
1,2,1,0,3639.20368842042
2,2,1,0,3625.13287612869
3,2,1,0,3613.06839417939
0,3,1,0,3608.66980374239
1,3,1,0,3672.62568691156
2,3,1,0,3685.07477797961
3,3,1,0,3639.02874058476
0,0,0,1,3339.25198067114
1,0,0,1,3165.18361876871
2,0,0,1,3166.36212552195
3,0,0,1,3174.59091417122
0,1,0,1,3242.64566779367
1,1,0,1,3149.74419395362
2,1,0,1,3154.86057925894
3,1,0,1,3138.42761538298
0,2,0,1,3204.45016393027
1,2,0,1,3196.39483131025
2,2,0,1,3184.66190511827
3,2,0,1,3175.2488548351
0,3,0,1,3165.1456057202
1,3,0,1,3187.2925595606
2,3,0,1,3204.20495217261
3,3,0,1,3180.56985315228
0,0,1,1,3365.99597677064
1,0,1,1,3153.1709133868
2,0,1,1,3153.81169704087
3,0,1,1,3163.16915840628
0,1,1,1,3243.82284225932
1,1,1,1,3132.25861732112
2,1,1,1,3153.1842641194
3,1,1,1,3135.0799863585
0,2,1,1,3192.81407830142
1,2,1,1,3181.16981612377
2,2,1,1,3169.04570174319
3,2,1,1,3157.48005807767
0,3,1,1,3153.41860881512
1,3,1,1,3172.30580772832
2,3,1,1,3176.29990111801
3,3,1,1,3180.87501733466
