 ,p,q,P,Q,BIC,AIC,RMSE (VC),RMSE (ET)
1,0,0,0,0,9112.28,9108.14,4274.79,6184.92
2,1,0,0,0,8703.17,8694.9,3958.23,4356.21
3,2,0,0,0,8683.81,8671.41,3987.8,4504.18
4,3,0,0,0,8663.32,8646.77,3944.75,4663.61
5,0,1,0,0,8781.32,8773.05,4095.34,5706.77
6,1,1,0,0,8668.57,8656.17,3923.99,4616.6
7,2,1,0,0,8673.92,8657.38,3944.14,4577.3
8,3,1,0,0,8669.37,8648.69,3956.02,4672.05
9,0,2,0,0,8700.33,8687.93,4016.25,5428.08
10,1,2,0,0,8672.1,8655.56,3973.2,4543.04
11,2,2,0,0,8676.67,8655.99,3962.49,4594.12
12,3,2,0,0,8653.53,8628.72,3868.5,4551.78
13,0,3,0,0,8690.12,8673.58,3979.99,5093.47
14,1,3,0,0,8674.28,8653.6,3991.85,4668.35
15,2,3,0,0,8679.77,8654.96,3952.21,4685.9
16,3,3,0,0,8662.4,8633.45,3889.44,4455.07
17,0,0,1,0,9030.12,9021.85,3850.18,6577.45
18,1,0,1,0,8585.14,8572.73,3531.5,4309.37
19,2,0,1,0,8567.14,8550.6,3547.96,4349.25
20,3,0,1,0,8557.31,8536.63,3538.1,4439.2
21,0,1,1,0,8691.41,8679,3659.93,5900.55
22,1,1,1,0,8557.26,8540.72,3490.8,4415.12
23,2,1,1,0,8562.51,8541.83,3537.68,4387.08
24,3,1,1,0,8563.07,8538.26,3560.86,4457.11
25,0,2,1,0,8604.79,8588.24,3585.59,5515.31
26,1,2,1,0,8561.53,8540.85,3537.53,4376.62
27,2,2,1,0,8566.17,8541.35,3535,4423.81
28,3,2,1,0,8568.87,8539.92,3545.4,4427.83
29,0,3,1,0,8582.66,8561.99,3532,5002.97
30,1,3,1,0,8565.13,8540.31,3586.91,4462.25
31,2,3,1,0,8571.26,8542.31,3598.03,4461.86
32,3,3,1,0,8572.89,8539.8,3551.42,4383.43
33,0,0,0,1,8931.37,8923.1,3421.67,6586.87
34,1,0,0,1,8469.87,8457.46,3079.51,3907.68
35,2,0,0,1,8449.77,8433.23,3097,3786.37
36,3,0,0,1,8436.08,8415.4,3074.77,3672.68
37,0,1,0,1,8586.57,8574.16,3250.13,5647.15
38,1,1,0,1,8437.83,8421.28,3060.95,3727.07
39,2,1,0,1,8443.25,8422.57,3085.24,3711.15
40,3,1,0,1,8441.7,8416.89,3049,3665.92
41,0,2,0,1,8488.25,8471.71,3181.21,4938.8
42,1,2,0,1,8442.17,8421.5,3109.11,3692.42
43,2,2,0,1,8444.84,8420.03,3114.83,3639.05
44,3,2,0,1,8447.64,8418.69,3087.06,3679.14
45,0,3,0,1,8465.64,8444.96,3116,4404.47
46,1,3,0,1,8443.23,8418.42,3102.36,3677.71
47,2,3,0,1,8449.25,8420.3,3115.98,3667.93
48,3,3,0,1,8457.04,8423.96,3094.3,3704.51
49,0,0,1,1,8930.59,8918.18,3432.27,6273.03
50,1,0,1,1,8475.78,8459.23,3092.06,3844.47
51,2,0,1,1,8455.71,8435.03,3100.64,3733.21
52,3,0,1,1,8441.29,8416.47,3081.43,3574.9
53,0,1,1,1,8587.46,8570.91,3245.35,5351.37
54,1,1,1,1,8443.46,8422.78,3061.53,3648.12
55,2,1,1,1,8448.84,8424.03,3103.92,3629.4
56,3,1,1,1,8447,8418.05,3059.3,3573.11
57,0,2,1,1,8491.84,8471.16,3167.35,4751.09
58,1,2,1,1,8447.66,8422.85,3109,3605.79
59,2,2,1,1,8454.94,8425.99,3107.16,3648.56
60,3,2,1,1,8452.84,8419.75,3081.47,3580.66
61,0,3,1,1,8470.92,8446.11,3109.47,4292.86
62,1,3,1,1,8448.75,8419.8,3103.08,3602.65
63,2,3,1,1,8454.84,8421.76,3096.13,3600.8
64,3,3,1,1,8458.38,8421.16,3117.44,3599.63
